,Currency,Rate,LOADINGDATA
0,US Dollar,1.0,2024-02-17 17:58:23.312053
1,Euro,0.927939,2024-02-17 17:58:23.312053
2,British Pound,0.793676,2024-02-17 17:58:23.312053
3,Indian Rupee,83.014172,2024-02-17 17:58:23.312053
4,Australian Dollar,1.530712,2024-02-17 17:58:23.312053
5,Canadian Dollar,1.348999,2024-02-17 17:58:23.312053
6,Singapore Dollar,1.346859,2024-02-17 17:58:23.312053
7,Swiss Franc,0.880599,2024-02-17 17:58:23.312053
8,Malaysian Ringgit,4.779708,2024-02-17 17:58:23.312053
9,Japanese Yen,150.232179,2024-02-17 17:58:23.312053
10,Chinese Yuan Renminbi,7.192796,2024-02-17 17:58:23.312053
11,Argentine Peso,834.933708,2024-02-17 17:58:23.312053
12,Bahraini Dinar,0.376000,2024-02-17 17:58:23.312053
13,Botswana Pula,13.713340,2024-02-17 17:58:23.312053
14,Brazilian Real,4.967993,2024-02-17 17:58:23.312053
15,Bruneian Dollar,1.346859,2024-02-17 17:58:23.312053
16,Bulgarian Lev,1.814890,2024-02-17 17:58:23.312053
17,Chilean Peso,969.831519,2024-02-17 17:58:23.312053
18,Colombian Peso,3907.918511,2024-02-17 17:58:23.312053
19,Czech Koruna,23.599001,2024-02-17 17:58:23.312053
20,Danish Krone,6.918845,2024-02-17 17:58:23.312053
21,Hong Kong Dollar,7.822321,2024-02-17 17:58:23.312053
22,Hungarian Forint,360.835486,2024-02-17 17:58:23.312053
23,Icelandic Krona,138.144673,2024-02-17 17:58:23.312053
24,Indonesian Rupiah,15622.080723,2024-02-17 17:58:23.312053
25,Iranian Rial,42002.680671,2024-02-17 17:58:23.312053
26,Israeli Shekel,3.606887,2024-02-17 17:58:23.312053
27,Kazakhstani Tenge,449.413457,2024-02-17 17:58:23.312053
28,South Korean Won,1331.652675,2024-02-17 17:58:23.312053
29,Kuwaiti Dinar,0.308999,2024-02-17 17:58:23.312053
30,Libyan Dinar,4.847977,2024-02-17 17:58:23.312053
31,Mauritian Rupee,46.900093,2024-02-17 17:58:23.312053
32,Mexican Peso,17.062075,2024-02-17 17:58:23.312053
33,Nepalese Rupee,132.884936,2024-02-17 17:58:23.312053
34,New Zealand Dollar,1.632516,2024-02-17 17:58:23.312053
35,Norwegian Krone,10.498846,2024-02-17 17:58:23.312053
36,Omani Rial,0.385100,2024-02-17 17:58:23.312053
37,Pakistani Rupee,279.340263,2024-02-17 17:58:23.312053
38,Philippine Peso,55.959794,2024-02-17 17:58:23.312053
39,Polish Zloty,4.029745,2024-02-17 17:58:23.312053
40,Qatari Riyal,3.640000,2024-02-17 17:58:23.312053
41,Romanian New Leu,4.618382,2024-02-17 17:58:23.312053
42,Russian Ruble,92.009822,2024-02-17 17:58:23.312053
43,Saudi Arabian Riyal,3.750000,2024-02-17 17:58:23.312053
44,South African Rand,18.862522,2024-02-17 17:58:23.312053
45,Sri Lankan Rupee,312.599728,2024-02-17 17:58:23.312053
46,Swedish Krona,10.442711,2024-02-17 17:58:23.312053
47,Taiwan New Dollar,31.386602,2024-02-17 17:58:23.312053
48,Thai Baht,36.007338,2024-02-17 17:58:23.312053
49,Trinidadian Dollar,6.777368,2024-02-17 17:58:23.312053
50,Turkish Lira,30.836410,2024-02-17 17:58:23.312053
51,Emirati Dirham,3.672500,2024-02-17 17:58:23.312053
52,Venezuelan Bolivar,3619210.390202,2024-02-17 17:58:23.312053
