,Currency,Rate,LOADINGDATA
0,US Dollar,1.0,2024-03-08 20:48:36.980544
1,Euro,0.914430,2024-03-08 20:48:36.980544
2,British Pound,0.778119,2024-03-08 20:48:36.980544
3,Indian Rupee,82.754956,2024-03-08 20:48:36.980544
4,Australian Dollar,1.510632,2024-03-08 20:48:36.980544
5,Canadian Dollar,1.349522,2024-03-08 20:48:36.980544
6,Singapore Dollar,1.331521,2024-03-08 20:48:36.980544
7,Swiss Franc,0.877563,2024-03-08 20:48:36.980544
8,Malaysian Ringgit,4.685856,2024-03-08 20:48:36.980544
9,Japanese Yen,147.080230,2024-03-08 20:48:36.980544
10,Chinese Yuan Renminbi,7.185427,2024-03-08 20:48:36.980544
11,Argentine Peso,846.726422,2024-03-08 20:48:36.980544
12,Bahraini Dinar,0.376000,2024-03-08 20:48:36.980544
13,Botswana Pula,13.712427,2024-03-08 20:48:36.980544
14,Brazilian Real,4.986059,2024-03-08 20:48:36.980544
15,Bruneian Dollar,1.331521,2024-03-08 20:48:36.980544
16,Bulgarian Lev,1.788470,2024-03-08 20:48:36.980544
17,Chilean Peso,961.152962,2024-03-08 20:48:36.980544
18,Colombian Peso,3901.049934,2024-03-08 20:48:36.980544
19,Czech Koruna,23.156923,2024-03-08 20:48:36.980544
20,Danish Krone,6.816550,2024-03-08 20:48:36.980544
21,Hong Kong Dollar,7.820512,2024-03-08 20:48:36.980544
22,Hungarian Forint,360.460659,2024-03-08 20:48:36.980544
23,Icelandic Krona,136.166424,2024-03-08 20:48:36.980544
24,Indonesian Rupiah,15538.446440,2024-03-08 20:48:36.980544
25,Iranian Rial,41988.490146,2024-03-08 20:48:36.980544
26,Israeli Shekel,3.577724,2024-03-08 20:48:36.980544
27,Kazakhstani Tenge,446.896219,2024-03-08 20:48:36.980544
28,South Korean Won,1318.290794,2024-03-08 20:48:36.980544
29,Kuwaiti Dinar,0.307091,2024-03-08 20:48:36.980544
30,Libyan Dinar,4.811566,2024-03-08 20:48:36.980544
31,Mauritian Rupee,45.720388,2024-03-08 20:48:36.980544
32,Mexican Peso,16.812416,2024-03-08 20:48:36.980544
33,Nepalese Rupee,132.469996,2024-03-08 20:48:36.980544
34,New Zealand Dollar,1.619845,2024-03-08 20:48:36.980544
35,Norwegian Krone,10.433900,2024-03-08 20:48:36.980544
36,Omani Rial,0.385001,2024-03-08 20:48:36.980544
37,Pakistani Rupee,279.440820,2024-03-08 20:48:36.980544
38,Philippine Peso,55.569531,2024-03-08 20:48:36.980544
39,Polish Zloty,3.934983,2024-03-08 20:48:36.980544
40,Qatari Riyal,3.640000,2024-03-08 20:48:36.980544
41,Romanian New Leu,4.542155,2024-03-08 20:48:36.980544
42,Russian Ruble,90.992914,2024-03-08 20:48:36.980544
43,Saudi Arabian Riyal,3.750000,2024-03-08 20:48:36.980544
44,South African Rand,18.740014,2024-03-08 20:48:36.980544
45,Sri Lankan Rupee,307.547845,2024-03-08 20:48:36.980544
46,Swedish Krona,10.229023,2024-03-08 20:48:36.980544
47,Taiwan New Dollar,31.433498,2024-03-08 20:48:36.980544
48,Thai Baht,35.401467,2024-03-08 20:48:36.980544
49,Trinidadian Dollar,6.774806,2024-03-08 20:48:36.980544
50,Turkish Lira,31.941218,2024-03-08 20:48:36.980544
51,Emirati Dirham,3.672500,2024-03-08 20:48:36.980544
52,Venezuelan Bolivar,3611092.390511,2024-03-08 20:48:36.980544
