,Currency,Rate
0,US Dollar,1.0
1,Euro,0.927959
2,British Pound,0.793671
3,Indian Rupee,83.013834
4,Australian Dollar,1.530762
5,Canadian Dollar,1.348824
6,Singapore Dollar,1.347250
7,Swiss Franc,0.880622
8,Malaysian Ringgit,4.779707
9,Japanese Yen,150.226119
10,Chinese Yuan Renminbi,7.192796
11,Argentine Peso,834.988374
12,Bahraini Dinar,0.376000
13,Botswana Pula,13.713340
14,Brazilian Real,4.968057
15,Bruneian Dollar,1.347250
16,Bulgarian Lev,1.814929
17,Chilean Peso,969.831519
18,Colombian Peso,3907.874477
19,Czech Koruna,23.599792
20,Danish Krone,6.919209
21,Hong Kong Dollar,7.822299
22,Hungarian Forint,360.840907
23,Icelandic Krona,138.143458
24,Indonesian Rupiah,15619.429849
25,Iranian Rial,42002.610298
26,Israeli Shekel,3.607016
27,Kazakhstani Tenge,449.411921
28,South Korean Won,1331.578812
29,Kuwaiti Dinar,0.309002
30,Libyan Dinar,4.847577
31,Mauritian Rupee,46.899980
32,Mexican Peso,17.060667
33,Nepalese Rupee,132.884395
34,New Zealand Dollar,1.632650
35,Norwegian Krone,10.489723
36,Omani Rial,0.385102
37,Pakistani Rupee,279.339883
38,Philippine Peso,55.959842
39,Polish Zloty,4.029583
40,Qatari Riyal,3.640000
41,Romanian New Leu,4.618378
42,Russian Ruble,92.018214
43,Saudi Arabian Riyal,3.750000
44,South African Rand,18.866394
45,Sri Lankan Rupee,312.599728
46,Swedish Krona,10.445359
47,Taiwan New Dollar,31.389545
48,Thai Baht,36.007203
49,Trinidadian Dollar,6.777359
50,Turkish Lira,30.835300
51,Emirati Dirham,3.672500
52,Venezuelan Bolivar,3618982.718893
